meta_id,cochrane_id,review_title,comparison,outcome,intervention,control,n_studies,n_participants,pooled_effect_type,pooled_effect,ci_lower,ci_upper,p_value,i_squared,tau_squared,heterogeneity_p,model_type,subgroup_analysis,sensitivity_analysis,publication_bias_assessed,rob_overall,certainty_grade,year_updated,therapeutic_area
CMETA234,CD504062,Systematic review 234,Intervention vs comparator,Disease progression,Active treatment,Placebo,11,1113,Risk Ratio,1.25,0.61,1.44,0.028,54,0.069,0.841,Random,No,Yes,Yes,Low,Low,2016,Rheumatology
CMETA235,CD129462,Systematic review 235,Intervention vs comparator,Clinical response,Active treatment,Placebo,28,7029,Mean Difference,1.01,0.7,1.32,0.118,52,0.082,0.121,Random,Yes,Yes,No,Low,Moderate,2015,Rheumatology
CMETA236,CD153642,Systematic review 236,Intervention vs comparator,Clinical response,Active treatment,Placebo,14,6348,Risk Ratio,0.79,0.51,1.22,0.088,43,0.087,0.408,Random,Yes,Yes,Yes,Low,High,2023,Psychiatry
CMETA237,CD958021,Systematic review 237,Intervention vs comparator,Disease progression,Active treatment,Placebo,21,6287,Risk Ratio,0.78,0.66,1.57,0.116,57,0.078,0.27,Random,Yes,No,No,Low,High,2019,Gastroenterology
CMETA238,CD800414,Systematic review 238,Intervention vs comparator,Disease progression,Active treatment,Placebo,14,3691,Mean Difference,0.75,0.53,1.52,0.017,52,0.028,0.211,Random,No,No,Yes,Low,Moderate,2016,Endocrinology
CMETA239,CD396764,Systematic review 239,Intervention vs comparator,Clinical response,Active treatment,Placebo,23,7550,Hazard Ratio,1.06,0.63,1.45,0.068,56,0.036,0.142,Fixed,Yes,Yes,Yes,High,Low,2015,Pulmonology
CMETA240,CD899378,Systematic review 240,Intervention vs comparator,Clinical response,Active treatment,Standard care,22,810,Risk Ratio,1.27,0.69,1.27,0.09,34,0.061,0.569,Fixed,No,Yes,No,Low,High,2018,Psychiatry
CMETA241,CD710239,Systematic review 241,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,14,5568,Odds Ratio,0.94,0.58,1.42,0.011,71,0.105,0.214,Random,No,No,Yes,Unclear,Moderate,2016,Rheumatology
CMETA242,CD819904,Systematic review 242,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,33,5514,Mean Difference,0.73,0.8,1.19,0.083,42,0.121,0.508,Fixed,No,Yes,No,Low,Moderate,2015,Pulmonology
CMETA243,CD994955,Systematic review 243,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,16,5001,Hazard Ratio,0.96,0.72,1.12,0.045,42,0.126,0.538,Random,Yes,No,Yes,High,Moderate,2017,Neurology
CMETA244,CD651856,Systematic review 244,Intervention vs comparator,Clinical response,Active treatment,Standard care,11,7025,Risk Ratio,0.94,0.81,1.34,0.093,75,0.072,0.383,Random,No,Yes,Yes,Low,Moderate,2016,Gastroenterology
CMETA245,CD829638,Systematic review 245,Intervention vs comparator,Disease progression,Active treatment,Standard care,15,4541,Odds Ratio,1.25,0.65,1.51,0.082,54,0.095,0.49,Random,Yes,Yes,Yes,High,Moderate,2019,Endocrinology
CMETA246,CD692049,Systematic review 246,Intervention vs comparator,Mortality,Active treatment,Standard care,15,2446,Hazard Ratio,1.12,0.52,1.49,0.102,72,0.125,0.762,Fixed,No,Yes,Yes,Low,Moderate,2022,Psychiatry
CMETA247,CD348560,Systematic review 247,Intervention vs comparator,Clinical response,Active treatment,Standard care,32,5117,Odds Ratio,1.01,0.55,1.28,0.107,44,0.131,0.355,Fixed,Yes,Yes,Yes,Unclear,Low,2021,Rheumatology
CMETA248,CD649525,Systematic review 248,Intervention vs comparator,Clinical response,Active treatment,Standard care,17,7664,Odds Ratio,0.79,0.6,1.43,0.053,35,0.104,0.661,Random,Yes,Yes,Yes,High,Moderate,2019,Psychiatry
CMETA249,CD963948,Systematic review 249,Intervention vs comparator,Disease progression,Active treatment,Standard care,20,3507,Risk Ratio,1.05,0.83,1.36,0.106,70,0.066,0.658,Random,Yes,Yes,Yes,Low,High,2018,Psychiatry
CMETA250,CD239899,Systematic review 250,Intervention vs comparator,Clinical response,Active treatment,Standard care,31,4559,Odds Ratio,0.81,0.52,1.59,0.108,22,0.128,0.8,Fixed,No,Yes,Yes,Unclear,Low,2015,Oncology
CMETA251,CD507364,Systematic review 251,Intervention vs comparator,Mortality,Active treatment,Standard care,23,4931,Risk Ratio,1.03,0.74,1.65,0.012,59,0.011,0.682,Random,Yes,Yes,Yes,Low,High,2015,Cardiology
CMETA252,CD267330,Systematic review 252,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,35,2583,Mean Difference,1.11,0.71,1.41,0.011,60,0.094,0.198,Fixed,No,Yes,No,Unclear,Moderate,2019,Rheumatology
CMETA253,CD294400,Systematic review 253,Intervention vs comparator,Clinical response,Active treatment,Standard care,28,7735,Mean Difference,1.27,0.76,1.05,0.096,46,0.128,0.733,Fixed,Yes,Yes,No,Unclear,High,2016,Cardiology
CMETA254,CD880309,Systematic review 254,Intervention vs comparator,Mortality,Active treatment,Placebo,8,5007,Mean Difference,0.77,0.84,1.25,0.046,15,0.065,0.639,Random,Yes,Yes,Yes,Low,Moderate,2016,Neurology
CMETA255,CD380097,Systematic review 255,Intervention vs comparator,Mortality,Active treatment,Standard care,13,3844,Risk Ratio,1.28,0.69,1.59,0.084,61,0.149,0.429,Random,No,Yes,No,Unclear,Low,2016,Psychiatry
CMETA256,CD987030,Systematic review 256,Intervention vs comparator,Disease progression,Active treatment,Standard care,12,7391,Odds Ratio,0.92,0.82,1.11,0.077,31,0.092,0.667,Random,Yes,Yes,No,Low,Low,2015,Rheumatology
CMETA257,CD965181,Systematic review 257,Intervention vs comparator,Mortality,Active treatment,Standard care,9,4100,Risk Ratio,0.85,0.67,1.16,0.063,49,0.137,0.675,Fixed,No,Yes,No,High,Moderate,2016,Oncology
CMETA258,CD691761,Systematic review 258,Intervention vs comparator,Mortality,Active treatment,Placebo,27,981,Odds Ratio,0.91,0.57,1.56,0.146,29,0.068,0.755,Random,Yes,No,Yes,Low,Low,2020,Cardiology
CMETA259,CD174569,Systematic review 259,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,23,6428,Hazard Ratio,0.84,0.63,1.55,0.041,61,0.129,0.119,Random,No,No,Yes,Low,Low,2018,Endocrinology
CMETA260,CD739503,Systematic review 260,Intervention vs comparator,Clinical response,Active treatment,Standard care,13,2157,Hazard Ratio,1.06,0.54,1.51,0.129,49,0.14,0.156,Random,No,No,Yes,Unclear,High,2018,Pulmonology
CMETA261,CD767579,Systematic review 261,Intervention vs comparator,Disease progression,Active treatment,Placebo,24,5306,Mean Difference,1.28,0.8,1.31,0.043,49,0.148,0.644,Random,No,Yes,Yes,Low,Low,2015,Oncology
CMETA262,CD636604,Systematic review 262,Intervention vs comparator,Disease progression,Active treatment,Placebo,16,4371,Odds Ratio,0.68,0.81,1.62,0.121,68,0.038,0.694,Random,Yes,Yes,Yes,Unclear,Moderate,2015,Neurology
CMETA263,CD476987,Systematic review 263,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,17,6553,Mean Difference,1.08,0.77,1.6,0.105,22,0.042,0.153,Fixed,No,No,Yes,Unclear,Low,2021,Oncology
CMETA264,CD397945,Systematic review 264,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,28,4511,Odds Ratio,0.87,0.58,1.56,0.067,31,0.114,0.361,Fixed,Yes,Yes,Yes,Low,Moderate,2017,Psychiatry
CMETA265,CD130394,Systematic review 265,Intervention vs comparator,Mortality,Active treatment,Placebo,30,7114,Odds Ratio,1.26,0.84,1.47,0.121,15,0.072,0.582,Fixed,Yes,Yes,Yes,High,High,2016,Endocrinology
CMETA266,CD700083,Systematic review 266,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,25,5844,Hazard Ratio,1.13,0.53,1.44,0.043,17,0.094,0.539,Random,Yes,Yes,No,Low,Moderate,2018,Oncology
CMETA267,CD500635,Systematic review 267,Intervention vs comparator,Disease progression,Active treatment,Standard care,20,5579,Mean Difference,0.94,0.54,1.64,0.092,46,0.115,0.675,Random,Yes,Yes,Yes,High,High,2020,Neurology
CMETA268,CD247359,Systematic review 268,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,23,1766,Mean Difference,1.07,0.63,1.31,0.05,39,0.095,0.439,Random,No,No,Yes,Low,Low,2021,Psychiatry
CMETA269,CD434740,Systematic review 269,Intervention vs comparator,Mortality,Active treatment,Placebo,26,7795,Hazard Ratio,1.27,0.84,1.56,0.133,74,0.141,0.377,Random,No,Yes,No,High,High,2017,Neurology
CMETA270,CD669490,Systematic review 270,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,16,1758,Risk Ratio,1.29,0.73,1.07,0.009,59,0.137,0.37,Fixed,No,No,No,Low,High,2023,Gastroenterology
CMETA271,CD396974,Systematic review 271,Intervention vs comparator,Disease progression,Active treatment,Placebo,17,2358,Odds Ratio,1.14,0.7,1.19,0.071,17,0.107,0.263,Fixed,Yes,No,No,Unclear,Moderate,2018,Neurology
CMETA272,CD943483,Systematic review 272,Intervention vs comparator,Disease progression,Active treatment,Placebo,32,4412,Odds Ratio,0.66,0.72,1.06,0.148,58,0.021,0.266,Random,Yes,Yes,Yes,High,Moderate,2020,Neurology
CMETA273,CD493475,Systematic review 273,Intervention vs comparator,Disease progression,Active treatment,Standard care,18,6864,Odds Ratio,1.15,0.58,1.25,0.123,53,0.125,0.231,Random,No,Yes,No,Unclear,Low,2015,Oncology
CMETA274,CD793783,Systematic review 274,Intervention vs comparator,Mortality,Active treatment,Standard care,11,4663,Mean Difference,0.88,0.72,1.42,0.092,45,0.016,0.529,Fixed,Yes,No,Yes,Low,Moderate,2022,Pulmonology
CMETA275,CD417852,Systematic review 275,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,32,3427,Mean Difference,0.89,0.63,1.52,0.065,17,0.016,0.466,Fixed,No,Yes,Yes,Low,Low,2021,Neurology
CMETA276,CD948475,Systematic review 276,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,29,5218,Odds Ratio,1.19,0.63,1.54,0.078,65,0.096,0.225,Random,No,No,No,Low,Moderate,2019,Pulmonology
CMETA277,CD778115,Systematic review 277,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,22,801,Risk Ratio,1.11,0.84,1.2,0.109,66,0.017,0.508,Fixed,Yes,Yes,Yes,High,Moderate,2019,Pulmonology
CMETA278,CD711991,Systematic review 278,Intervention vs comparator,Clinical response,Active treatment,Placebo,14,3098,Mean Difference,1.11,0.81,1.34,0.073,51,0.135,0.483,Random,No,No,Yes,Low,High,2023,Cardiology
CMETA279,CD496468,Systematic review 279,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,30,3959,Hazard Ratio,0.8,0.75,1.29,0.09,17,0.104,0.643,Random,No,Yes,No,Unclear,Low,2017,Oncology
CMETA280,CD354568,Systematic review 280,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,30,4235,Odds Ratio,1.31,0.7,1.34,0.096,59,0.094,0.465,Random,Yes,No,Yes,Low,Moderate,2022,Psychiatry
CMETA281,CD938349,Systematic review 281,Intervention vs comparator,Disease progression,Active treatment,Placebo,35,3926,Risk Ratio,0.98,0.73,1.53,0.083,20,0.128,0.804,Fixed,No,Yes,Yes,High,Low,2017,Gastroenterology
CMETA282,CD445343,Systematic review 282,Intervention vs comparator,Disease progression,Active treatment,Standard care,33,2432,Hazard Ratio,1.27,0.5,1.42,0.107,44,0.058,0.816,Fixed,No,No,Yes,Low,Low,2019,Oncology
CMETA283,CD576435,Systematic review 283,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,15,3091,Risk Ratio,1.02,0.78,1.55,0.142,66,0.121,0.149,Random,Yes,No,Yes,Low,Low,2016,Pulmonology
CMETA284,CD916897,Systematic review 284,Intervention vs comparator,Mortality,Active treatment,Standard care,20,7873,Risk Ratio,0.98,0.8,1.41,0.002,65,0.11,0.198,Random,No,No,Yes,Low,Moderate,2022,Endocrinology
CMETA285,CD799928,Systematic review 285,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,21,6521,Hazard Ratio,1.32,0.51,1.12,0.08,73,0.063,0.576,Random,No,No,No,Unclear,Low,2017,Endocrinology
CMETA286,CD425098,Systematic review 286,Intervention vs comparator,Mortality,Active treatment,Standard care,35,4159,Mean Difference,0.93,0.68,1.34,0.144,75,0.118,0.555,Random,Yes,Yes,No,Low,Moderate,2023,Rheumatology
CMETA287,CD239395,Systematic review 287,Intervention vs comparator,Disease progression,Active treatment,Standard care,9,3069,Hazard Ratio,0.98,0.81,1.57,0.116,60,0.045,0.754,Random,Yes,Yes,Yes,Unclear,High,2017,Neurology
CMETA288,CD520562,Systematic review 288,Intervention vs comparator,Mortality,Active treatment,Placebo,9,3495,Odds Ratio,0.88,0.59,1.27,0.055,45,0.136,0.533,Random,Yes,Yes,Yes,Low,Moderate,2017,Neurology
CMETA289,CD914563,Systematic review 289,Intervention vs comparator,Mortality,Active treatment,Placebo,14,5557,Mean Difference,1.07,0.82,1.3,0.051,36,0.069,0.278,Random,No,Yes,Yes,Low,Moderate,2016,Cardiology
CMETA290,CD457833,Systematic review 290,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,9,6920,Mean Difference,0.96,0.52,1.31,0.117,38,0.085,0.052,Fixed,No,Yes,No,Low,Low,2018,Neurology
CMETA291,CD250912,Systematic review 291,Intervention vs comparator,Mortality,Active treatment,Standard care,20,4199,Hazard Ratio,1.19,0.74,1.07,0.117,54,0.046,0.089,Random,No,Yes,Yes,High,Low,2015,Endocrinology
CMETA292,CD173732,Systematic review 292,Intervention vs comparator,Disease progression,Active treatment,Standard care,23,1763,Risk Ratio,1.34,0.55,1.41,0.114,47,0.058,0.827,Fixed,No,Yes,Yes,Low,Moderate,2021,Neurology
CMETA293,CD437347,Systematic review 293,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,25,2546,Mean Difference,1.13,0.83,1.32,0.148,22,0.076,0.796,Fixed,Yes,No,Yes,Unclear,Low,2020,Psychiatry
CMETA294,CD563558,Systematic review 294,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,8,1920,Mean Difference,1.2,0.67,1.12,0.083,58,0.038,0.687,Fixed,No,Yes,Yes,Low,High,2015,Rheumatology
CMETA295,CD281991,Systematic review 295,Intervention vs comparator,Clinical response,Active treatment,Placebo,12,2749,Odds Ratio,0.79,0.67,1.06,0.027,36,0.016,0.262,Random,Yes,No,No,High,High,2020,Oncology
CMETA296,CD958026,Systematic review 296,Intervention vs comparator,Clinical response,Active treatment,Standard care,27,2609,Hazard Ratio,0.74,0.73,1.46,0.037,27,0.044,0.216,Fixed,No,Yes,Yes,Unclear,Moderate,2021,Pulmonology
CMETA297,CD487941,Systematic review 297,Intervention vs comparator,Clinical response,Active treatment,Standard care,16,3283,Mean Difference,1.15,0.61,1.51,0.1,43,0.08,0.2,Random,No,Yes,Yes,Unclear,Moderate,2018,Oncology
CMETA298,CD944909,Systematic review 298,Intervention vs comparator,Mortality,Active treatment,Placebo,21,1349,Odds Ratio,1.34,0.56,1.62,0.056,15,0.028,0.125,Random,No,Yes,Yes,Low,Moderate,2015,Gastroenterology
CMETA299,CD668548,Systematic review 299,Intervention vs comparator,Mortality,Active treatment,Placebo,31,5184,Risk Ratio,0.67,0.81,1.31,0.113,50,0.098,0.737,Random,Yes,Yes,Yes,High,Moderate,2022,Rheumatology
CMETA300,CD725902,Systematic review 300,Intervention vs comparator,Disease progression,Active treatment,Standard care,13,5279,Risk Ratio,1.13,0.79,1.1,0.08,39,0.02,0.723,Random,Yes,Yes,No,Low,Moderate,2020,Endocrinology
CMETA301,CD960617,Systematic review 301,Intervention vs comparator,Clinical response,Active treatment,Standard care,16,6652,Mean Difference,1.05,0.79,1.63,0.092,36,0.093,0.793,Fixed,No,No,Yes,Low,Low,2022,Gastroenterology
CMETA302,CD430659,Systematic review 302,Intervention vs comparator,Disease progression,Active treatment,Placebo,22,2908,Mean Difference,1.09,0.71,1.63,0.149,45,0.068,0.44,Fixed,No,No,Yes,Unclear,Moderate,2015,Gastroenterology
CMETA303,CD259921,Systematic review 303,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,14,4237,Hazard Ratio,0.9,0.82,1.27,0.11,75,0.132,0.642,Random,No,No,Yes,Low,Moderate,2016,Gastroenterology
CMETA304,CD901184,Systematic review 304,Intervention vs comparator,Mortality,Active treatment,Standard care,27,6815,Odds Ratio,1.28,0.79,1.25,0.076,46,0.013,0.545,Fixed,Yes,Yes,Yes,High,Moderate,2022,Neurology
CMETA305,CD911262,Systematic review 305,Intervention vs comparator,Mortality,Active treatment,Placebo,35,5032,Mean Difference,1.04,0.57,1.54,0.012,46,0.037,0.641,Random,No,No,Yes,Low,Moderate,2015,Pulmonology
CMETA306,CD491087,Systematic review 306,Intervention vs comparator,Disease progression,Active treatment,Standard care,13,1346,Risk Ratio,1.19,0.72,1.32,0.05,74,0.129,0.328,Random,No,Yes,Yes,Low,Low,2020,Psychiatry
CMETA307,CD541112,Systematic review 307,Intervention vs comparator,Disease progression,Active treatment,Placebo,35,3792,Odds Ratio,1.21,0.61,1.53,0.124,33,0.049,0.568,Random,Yes,Yes,Yes,Unclear,Moderate,2017,Rheumatology
CMETA308,CD880105,Systematic review 308,Intervention vs comparator,Mortality,Active treatment,Standard care,16,5261,Hazard Ratio,1.14,0.65,1.09,0.088,71,0.067,0.166,Fixed,No,Yes,Yes,Low,Moderate,2016,Oncology
CMETA309,CD514100,Systematic review 309,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,19,1579,Risk Ratio,0.66,0.79,1.5,0.09,21,0.049,0.477,Random,Yes,Yes,No,High,High,2023,Cardiology
CMETA310,CD399482,Systematic review 310,Intervention vs comparator,Disease progression,Active treatment,Placebo,20,1939,Risk Ratio,1.08,0.68,1.26,0.067,48,0.134,0.323,Fixed,No,Yes,No,High,Low,2018,Endocrinology
CMETA311,CD607948,Systematic review 311,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,33,4855,Odds Ratio,1.17,0.63,1.22,0.056,53,0.033,0.182,Random,No,Yes,Yes,Unclear,Moderate,2020,Cardiology
CMETA312,CD575573,Systematic review 312,Intervention vs comparator,Mortality,Active treatment,Standard care,14,2825,Risk Ratio,1.1,0.63,1.61,0.048,44,0.086,0.791,Random,No,No,Yes,Low,Moderate,2019,Pulmonology
CMETA313,CD711229,Systematic review 313,Intervention vs comparator,Disease progression,Active treatment,Placebo,30,6130,Odds Ratio,0.78,0.58,1.57,0.089,38,0.011,0.534,Random,No,Yes,Yes,High,Low,2018,Endocrinology
CMETA314,CD982950,Systematic review 314,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,35,3322,Mean Difference,0.85,0.54,1.14,0.106,66,0.146,0.425,Random,Yes,Yes,Yes,High,Moderate,2019,Psychiatry
CMETA315,CD628721,Systematic review 315,Intervention vs comparator,Mortality,Active treatment,Standard care,20,1421,Mean Difference,0.85,0.51,1.6,0.084,16,0.049,0.264,Fixed,No,Yes,Yes,Low,Moderate,2021,Neurology
CMETA316,CD944069,Systematic review 316,Intervention vs comparator,Disease progression,Active treatment,Standard care,18,2115,Mean Difference,1.11,0.55,1.07,0.073,26,0.079,0.22,Fixed,Yes,No,Yes,Unclear,Low,2022,Neurology
CMETA317,CD102442,Systematic review 317,Intervention vs comparator,Clinical response,Active treatment,Standard care,31,4340,Risk Ratio,0.68,0.69,1.54,0.145,16,0.124,0.387,Fixed,Yes,Yes,No,Low,Low,2015,Neurology
CMETA318,CD929897,Systematic review 318,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,9,3082,Odds Ratio,0.8,0.66,1.4,0.052,50,0.144,0.624,Fixed,No,No,No,Low,High,2017,Endocrinology
CMETA319,CD292595,Systematic review 319,Intervention vs comparator,Disease progression,Active treatment,Standard care,30,4794,Risk Ratio,1.03,0.53,1.4,0.065,50,0.037,0.585,Random,Yes,Yes,Yes,Low,Moderate,2020,Rheumatology
CMETA320,CD957569,Systematic review 320,Intervention vs comparator,Disease progression,Active treatment,Placebo,10,2632,Hazard Ratio,1.29,0.73,1.34,0.019,18,0.141,0.522,Random,Yes,Yes,Yes,Low,Moderate,2022,Psychiatry
CMETA321,CD296201,Systematic review 321,Intervention vs comparator,Clinical response,Active treatment,Placebo,8,2429,Odds Ratio,1.02,0.57,1.28,0.073,15,0.114,0.496,Random,No,Yes,Yes,Low,Low,2017,Neurology
CMETA322,CD621722,Systematic review 322,Intervention vs comparator,Clinical response,Active treatment,Placebo,30,6425,Odds Ratio,0.83,0.56,1.36,0.102,16,0.075,0.143,Random,Yes,Yes,Yes,Low,Moderate,2023,Psychiatry
CMETA323,CD523348,Systematic review 323,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,35,4217,Odds Ratio,0.88,0.84,1.28,0.022,23,0.079,0.35,Random,Yes,Yes,No,Low,High,2022,Oncology
CMETA324,CD195482,Systematic review 324,Intervention vs comparator,Mortality,Active treatment,Placebo,33,1333,Risk Ratio,0.8,0.63,1.35,0.084,68,0.016,0.704,Random,Yes,Yes,No,Low,High,2021,Neurology
CMETA325,CD915552,Systematic review 325,Intervention vs comparator,Clinical response,Active treatment,Standard care,27,4687,Risk Ratio,0.9,0.51,1.34,0.038,32,0.058,0.624,Fixed,No,Yes,No,Unclear,Low,2015,Psychiatry
CMETA326,CD334285,Systematic review 326,Intervention vs comparator,Disease progression,Active treatment,Placebo,27,5343,Odds Ratio,0.93,0.69,1.55,0.047,33,0.069,0.435,Fixed,No,No,No,Low,Moderate,2016,Pulmonology
CMETA327,CD466429,Systematic review 327,Intervention vs comparator,Clinical response,Active treatment,Standard care,20,2967,Hazard Ratio,1.25,0.69,1.57,0.051,32,0.086,0.067,Random,No,Yes,Yes,High,Moderate,2017,Psychiatry
CMETA328,CD475745,Systematic review 328,Intervention vs comparator,Mortality,Active treatment,Placebo,33,3050,Hazard Ratio,0.92,0.59,1.06,0.097,25,0.026,0.429,Random,No,Yes,No,Low,Moderate,2017,Gastroenterology
CMETA329,CD679391,Systematic review 329,Intervention vs comparator,Clinical response,Active treatment,Standard care,34,5501,Mean Difference,0.72,0.78,1.49,0.13,30,0.142,0.567,Fixed,Yes,Yes,Yes,Low,High,2016,Gastroenterology
CMETA330,CD397758,Systematic review 330,Intervention vs comparator,Mortality,Active treatment,Placebo,35,1840,Odds Ratio,0.8,0.74,1.27,0.136,64,0.03,0.505,Fixed,No,Yes,No,Unclear,Moderate,2017,Endocrinology
CMETA331,CD912039,Systematic review 331,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,31,2736,Risk Ratio,0.7,0.78,1.3,0.091,56,0.016,0.158,Random,Yes,Yes,No,Unclear,Moderate,2015,Oncology
CMETA332,CD561019,Systematic review 332,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,28,1122,Mean Difference,0.97,0.51,1.58,0.078,23,0.04,0.37,Random,No,No,Yes,Low,Low,2015,Psychiatry
CMETA333,CD383178,Systematic review 333,Intervention vs comparator,Mortality,Active treatment,Standard care,29,5216,Mean Difference,1.01,0.84,1.35,0.124,33,0.019,0.137,Random,No,Yes,Yes,Low,Moderate,2017,Neurology
CMETA334,CD186336,Systematic review 334,Intervention vs comparator,Mortality,Active treatment,Placebo,10,5674,Mean Difference,0.73,0.53,1.1,0.016,42,0.117,0.382,Fixed,No,Yes,Yes,High,Low,2023,Neurology
CMETA335,CD505991,Systematic review 335,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,35,2303,Hazard Ratio,0.78,0.78,1.52,0.079,51,0.085,0.603,Random,No,Yes,Yes,Low,Moderate,2018,Cardiology
CMETA336,CD580094,Systematic review 336,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,20,5940,Risk Ratio,0.67,0.63,1.28,0.125,16,0.085,0.822,Random,Yes,Yes,No,Low,High,2021,Rheumatology
CMETA337,CD404888,Systematic review 337,Intervention vs comparator,Mortality,Active treatment,Standard care,18,5630,Odds Ratio,0.66,0.61,1.35,0.133,15,0.048,0.339,Random,Yes,No,No,Unclear,High,2021,Rheumatology
CMETA338,CD920196,Systematic review 338,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,28,2427,Risk Ratio,1.24,0.78,1.24,0.142,33,0.14,0.069,Fixed,Yes,Yes,Yes,High,Moderate,2020,Oncology
CMETA339,CD179978,Systematic review 339,Intervention vs comparator,Mortality,Active treatment,Placebo,17,6601,Odds Ratio,0.7,0.53,1.41,0.011,25,0.024,0.434,Random,No,Yes,Yes,High,Low,2018,Neurology
CMETA340,CD135167,Systematic review 340,Intervention vs comparator,Clinical response,Active treatment,Standard care,19,6039,Risk Ratio,1.14,0.59,1.14,0.146,60,0.078,0.453,Random,No,Yes,No,High,High,2020,Neurology
CMETA341,CD869288,Systematic review 341,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,29,2740,Risk Ratio,1.24,0.82,1.27,0.01,41,0.021,0.316,Random,Yes,Yes,No,Low,Moderate,2023,Endocrinology
CMETA342,CD814831,Systematic review 342,Intervention vs comparator,Disease progression,Active treatment,Standard care,22,7082,Risk Ratio,1.11,0.75,1.33,0.137,62,0.021,0.286,Random,Yes,Yes,No,Low,Moderate,2017,Oncology
CMETA343,CD312943,Systematic review 343,Intervention vs comparator,Disease progression,Active treatment,Placebo,33,7169,Hazard Ratio,0.87,0.64,1.47,0.083,52,0.035,0.184,Random,Yes,No,No,Low,High,2023,Pulmonology
CMETA344,CD830327,Systematic review 344,Intervention vs comparator,Disease progression,Active treatment,Standard care,25,5557,Risk Ratio,1.02,0.72,1.48,0.095,35,0.13,0.155,Random,Yes,No,Yes,Low,Moderate,2023,Gastroenterology
CMETA345,CD724112,Systematic review 345,Intervention vs comparator,Disease progression,Active treatment,Placebo,32,6986,Hazard Ratio,0.73,0.81,1.25,0.121,46,0.127,0.053,Fixed,Yes,Yes,No,Low,Low,2019,Rheumatology
CMETA346,CD740306,Systematic review 346,Intervention vs comparator,Disease progression,Active treatment,Standard care,33,3264,Mean Difference,1.15,0.66,1.28,0.023,68,0.025,0.846,Random,No,Yes,Yes,Low,Moderate,2021,Cardiology
CMETA347,CD533550,Systematic review 347,Intervention vs comparator,Disease progression,Active treatment,Standard care,22,1193,Risk Ratio,1.32,0.72,1.4,0.019,32,0.102,0.339,Random,Yes,Yes,Yes,Low,High,2023,Gastroenterology
CMETA348,CD584241,Systematic review 348,Intervention vs comparator,Clinical response,Active treatment,Placebo,25,5407,Risk Ratio,1.16,0.51,1.65,0.126,28,0.125,0.535,Random,No,No,No,Low,Moderate,2021,Gastroenterology
CMETA349,CD223001,Systematic review 349,Intervention vs comparator,Clinical response,Active treatment,Standard care,29,900,Risk Ratio,1.26,0.56,1.26,0.066,71,0.12,0.452,Fixed,No,Yes,No,High,Moderate,2017,Endocrinology
CMETA350,CD795371,Systematic review 350,Intervention vs comparator,Mortality,Active treatment,Placebo,27,6540,Odds Ratio,0.73,0.52,1.43,0.058,23,0.061,0.758,Fixed,Yes,No,No,Unclear,High,2016,Rheumatology
CMETA351,CD932428,Systematic review 351,Intervention vs comparator,Mortality,Active treatment,Placebo,18,6605,Odds Ratio,1.23,0.62,1.23,0.045,42,0.088,0.474,Fixed,Yes,Yes,Yes,High,High,2015,Pulmonology
CMETA352,CD681679,Systematic review 352,Intervention vs comparator,Disease progression,Active treatment,Placebo,29,6314,Mean Difference,0.82,0.85,1.45,0.149,30,0.033,0.724,Random,Yes,No,Yes,High,Low,2023,Neurology
CMETA353,CD843128,Systematic review 353,Intervention vs comparator,Disease progression,Active treatment,Placebo,11,2357,Risk Ratio,1.23,0.79,1.31,0.095,55,0.148,0.713,Fixed,Yes,No,Yes,Low,Low,2019,Neurology
