hta_id,agency,assessment_date,assessment_year,technology_category,therapeutic_area,n_rcts,n_observational_studies,total_patients_evidence,primary_endpoint_met,effect_size,serious_adverse_events_rate,discontinuation_rate,icer_per_qaly,willingness_to_pay_threshold,budget_impact_annual,certainty_of_evidence,cost_effectiveness_score,clinical_benefit_score,innovation_score,decision,reimbursement_rate,time_to_decision_months,market_exclusivity_years,managed_entry_agreement,manufacturer_appeals
HTA0503,TLV (Sweden),2024-07-28,2024,Pharmaceuticals,Cardiology,1,4,9593,True,-0.455,0.2236,0.1357,110806.45,100000,81290522.12,Low,9.92,3.65,7.39,Restricted,0.535,3,16,False,False
HTA0504,IQWIG (Germany),2019-12-07,2019,Diagnostic Tests,Hematology,9,5,4847,True,2.089,0.1255,0.0775,86278.21,100000,33875315.19,Moderate,8.64,5.69,9.4,Recommended,0.961,9,8,False,False
HTA0505,PBAC (Australia),2024-08-11,2024,Digital Health,Gastroenterology,18,8,3254,True,0.016,0.0728,0.2237,65664.33,100000,78077820.91,Low,6.17,8.4,6.06,Restricted,0.789,18,7,True,False
HTA0506,CVZ (Netherlands),2024-07-16,2024,Surgical Procedures,Respiratory,12,13,4606,False,0.23,0.0341,0.3012,103573.63,100000,83261326.59,High,1.21,4.36,2.34,Not Recommended,0.0,23,5,False,True
HTA0507,TLV (Sweden),2023-04-24,2023,Gene Therapy,Endocrinology,23,0,6921,False,-0.028,0.046,0.1424,142436.35,100000,37346150.7,Very Low,3.74,5.89,1.18,Conditional,0.509,5,15,False,False
HTA0508,NICE (UK),2021-01-01,2021,Preventive Interventions,Endocrinology,7,1,5370,False,-0.114,0.1989,0.267,16996.59,50000,82574058.53,Low,2.79,1.72,8.53,Conditional,0.332,22,14,False,False
HTA0509,CADTH (Canada),2021-02-02,2021,Gene Therapy,Cardiology,15,13,5398,True,0.254,0.0499,0.1723,112561.94,100000,75913786.1,Low,3.11,6.29,6.14,Restricted,0.645,4,5,False,False
HTA0510,PBAC (Australia),2019-05-18,2019,Medical Devices,Respiratory,11,9,7182,False,0.432,0.19,0.345,73163.91,100000,39587756.64,Moderate,6.54,2.12,6.22,Conditional,0.566,9,16,True,False
HTA0511,G-BA (Germany),2020-01-10,2020,Immunotherapy,Hematology,15,12,1065,True,2.073,0.2254,0.3813,62635.76,100000,22496900.0,Moderate,4.0,2.59,6.47,Conditional,0.491,16,8,True,False
HTA0512,G-BA (Germany),2020-06-04,2020,Surgical Procedures,Hematology,17,7,5486,True,0.751,0.1445,0.2003,145078.14,100000,60806781.21,Low,9.43,6.32,1.11,Restricted,0.51,18,8,False,False
HTA0513,SMC (Scotland),2020-02-13,2020,Preventive Interventions,Oncology,1,9,8872,True,1.188,0.0339,0.3727,25411.72,100000,23264783.77,Low,7.88,6.57,3.09,Restricted,0.5,21,3,True,False
HTA0514,CADTH (Canada),2024-05-20,2024,Diagnostic Tests,Infectious Disease,24,3,9693,True,1.826,0.1364,0.1609,42432.93,100000,4736984.38,Low,3.07,2.33,6.88,Conditional,0.572,15,19,True,False
HTA0515,IQWIG (Germany),2019-06-06,2019,Diagnostic Tests,Infectious Disease,14,3,1977,True,1.069,0.1619,0.2524,42589.82,100000,90973579.07,High,4.13,7.47,7.9,Restricted,0.625,8,13,True,False
HTA0516,CADTH (Canada),2024-04-28,2024,Diagnostic Tests,Oncology,12,8,7550,False,-0.117,0.1514,0.3023,39974.98,100000,17645967.5,Very Low,6.56,9.83,4.04,Restricted,0.711,17,19,True,False
HTA0517,G-BA (Germany),2018-01-13,2018,Diagnostic Tests,Cardiology,19,13,7098,True,1.375,0.0706,0.2841,113316.23,100000,91676846.86,Very Low,1.09,9.91,7.15,Restricted,0.693,13,14,True,False
HTA0518,NCPE (Ireland),2023-09-28,2023,Medical Devices,Gastroenterology,7,1,6179,True,0.82,0.0396,0.2203,95656.47,100000,82911035.17,Low,1.59,3.77,3.59,Not Recommended,0.0,10,4,False,False
HTA0519,CADTH (Canada),2018-04-04,2018,Medical Devices,Gastroenterology,21,1,1906,True,0.984,0.1276,0.2386,42360.27,100000,37257876.93,Moderate,2.18,5.1,8.29,Restricted,0.748,21,15,True,False
HTA0520,NCPE (Ireland),2024-01-02,2024,Pharmaceuticals,Endocrinology,8,5,2172,True,-0.08,0.1332,0.1348,31728.05,100000,7418587.66,Low,4.85,6.64,7.55,Restricted,0.704,9,9,False,False
HTA0521,IQWIG (Germany),2024-04-03,2024,Gene Therapy,Gastroenterology,19,14,6338,True,0.063,0.0152,0.232,103596.89,100000,9489354.04,Moderate,7.69,9.87,7.0,Recommended,0.849,20,18,False,False
HTA0522,G-BA (Germany),2020-10-16,2020,Screening Programs,Endocrinology,5,3,7436,False,0.145,0.1848,0.2173,78257.84,100000,85269531.16,Low,9.08,9.02,9.79,Recommended,0.94,7,19,False,False
HTA0523,NICE (UK),2019-03-05,2019,Medical Devices,Respiratory,24,12,4025,True,0.919,0.1713,0.2625,65281.47,50000,38583455.88,Moderate,6.3,6.83,5.07,Restricted,0.791,14,18,False,False
HTA0524,NCPE (Ireland),2020-07-12,2020,Pharmaceuticals,Hematology,10,12,6210,True,0.455,0.074,0.3884,28210.75,100000,78945257.91,Very Low,1.18,7.29,3.28,Conditional,0.316,12,1,True,False
HTA0525,HAS (France),2023-06-14,2023,Immunotherapy,Gastroenterology,11,6,9038,True,0.413,0.1335,0.2997,139300.19,100000,9755321.15,Very Low,9.29,1.49,4.24,Restricted,0.744,12,18,True,False
HTA0526,PBAC (Australia),2020-04-17,2020,Preventive Interventions,Immunology,10,4,3684,False,0.085,0.2493,0.2096,113579.98,100000,67054115.88,Very Low,7.42,2.48,9.6,Restricted,0.7,13,5,True,False
HTA0527,SMC (Scotland),2020-07-04,2020,Medical Devices,Infectious Disease,17,11,319,True,2.037,0.2287,0.3372,23552.74,100000,99793598.31,Moderate,7.52,9.17,3.12,Restricted,0.772,14,11,False,False
HTA0528,NICE (UK),2022-08-08,2022,Digital Health,Oncology,11,7,6276,True,1.159,0.0708,0.3845,9151.52,50000,20773099.73,Moderate,4.73,3.09,5.42,Conditional,0.649,15,1,False,False
HTA0529,TLV (Sweden),2021-04-23,2021,Medical Devices,Rheumatology,6,9,6849,False,-0.045,0.2091,0.3913,131653.61,100000,23487824.93,High,5.43,5.78,2.81,Conditional,0.414,16,7,False,False
HTA0530,TLV (Sweden),2023-06-26,2023,Diagnostic Tests,Infectious Disease,8,5,6665,True,2.14,0.2231,0.3852,130817.29,100000,1211951.02,Moderate,8.37,4.3,6.41,Restricted,0.682,3,5,True,False
HTA0531,G-BA (Germany),2022-04-26,2022,Diagnostic Tests,Cardiology,19,11,6022,False,-0.246,0.2169,0.3627,33152.14,100000,13915108.02,Very Low,8.81,9.04,8.98,Recommended,0.908,20,7,False,False
HTA0532,CADTH (Canada),2020-09-25,2020,Medical Devices,Immunology,24,7,251,True,0.36,0.2426,0.263,62913.24,100000,64855971.73,Moderate,8.36,6.11,1.38,Restricted,0.553,11,14,True,False
HTA0533,NICE (UK),2021-04-13,2021,Surgical Procedures,Endocrinology,2,11,5242,True,1.178,0.055,0.2069,92148.75,50000,33410291.33,Low,8.56,3.91,8.55,Restricted,0.531,7,3,False,False
HTA0534,TLV (Sweden),2023-08-24,2023,Medical Devices,Rheumatology,7,9,9230,True,1.968,0.2335,0.2682,54828.86,100000,16247616.21,Moderate,3.3,6.52,9.51,Restricted,0.514,20,11,True,False
HTA0535,IQWIG (Germany),2023-10-02,2023,Preventive Interventions,Immunology,14,12,5017,True,-0.439,0.1358,0.2268,81161.32,100000,97429091.27,Very Low,2.46,4.32,4.82,Conditional,0.444,9,18,True,False
HTA0536,HAS (France),2020-03-22,2020,Screening Programs,Hematology,17,5,2303,True,2.376,0.1863,0.3117,41588.43,100000,42055113.71,High,6.46,1.93,8.52,Restricted,0.744,15,17,False,False
HTA0537,CADTH (Canada),2022-03-27,2022,Pharmaceuticals,Endocrinology,15,9,2403,False,-0.037,0.1543,0.3264,36206.99,100000,7526960.05,Moderate,1.56,7.9,7.47,Restricted,0.765,23,15,False,False
HTA0538,IQWIG (Germany),2018-09-15,2018,Preventive Interventions,Immunology,7,0,1700,True,1.173,0.2167,0.1284,141482.44,100000,60312749.8,Very Low,1.81,2.14,8.44,Conditional,0.646,14,5,True,False
HTA0539,SMC (Scotland),2021-06-28,2021,Screening Programs,Cardiology,21,0,2124,True,1.188,0.125,0.0866,93810.98,100000,74057358.91,Low,9.15,4.69,9.58,Recommended,0.973,21,12,False,False
HTA0540,IQWIG (Germany),2023-07-27,2023,Surgical Procedures,Neurology,7,3,9775,True,1.63,0.0148,0.2495,53505.54,100000,1874352.5,Moderate,9.47,5.69,9.98,Recommended,0.905,17,12,False,False
HTA0541,SMC (Scotland),2023-11-06,2023,Medical Devices,Immunology,2,7,2961,True,1.458,0.2155,0.1505,31640.61,100000,38505899.02,Low,1.09,7.1,5.29,Conditional,0.364,23,5,False,False
HTA0542,IQWIG (Germany),2020-05-03,2020,Gene Therapy,Endocrinology,9,5,7280,False,0.048,0.1563,0.0819,73718.37,100000,20176328.99,Moderate,6.95,9.2,4.63,Restricted,0.562,16,14,False,False
HTA0543,IQWIG (Germany),2022-05-11,2022,Diagnostic Tests,Hematology,20,8,9863,False,0.433,0.1294,0.0523,20918.53,100000,57729768.06,High,4.57,3.73,7.43,Restricted,0.517,14,17,True,False
HTA0544,PBAC (Australia),2021-12-25,2021,Digital Health,Cardiology,9,5,5886,False,0.265,0.0503,0.1968,75333.02,100000,26373023.07,Moderate,3.62,7.19,5.23,Restricted,0.638,7,1,False,False
HTA0545,CVZ (Netherlands),2021-05-15,2021,Preventive Interventions,Respiratory,20,11,4429,True,1.692,0.2098,0.3002,110885.4,100000,51734995.71,Low,4.8,6.86,3.33,Conditional,0.328,9,15,False,False
HTA0546,NCPE (Ireland),2024-11-08,2024,Pharmaceuticals,Endocrinology,7,11,950,False,0.067,0.2382,0.2592,7156.0,100000,35934857.7,High,9.32,1.94,4.49,Restricted,0.568,15,17,False,False
HTA0547,SMC (Scotland),2019-11-14,2019,Rehabilitation Technologies,Cardiology,16,6,344,False,0.468,0.1247,0.3046,58753.05,100000,19252455.56,Moderate,2.49,9.84,1.87,Conditional,0.536,9,13,True,False
HTA0548,NICE (UK),2024-07-27,2024,Screening Programs,Cardiology,9,5,8469,False,-0.257,0.0948,0.3826,88879.94,50000,37211380.38,Very Low,3.96,1.85,9.97,Restricted,0.58,4,7,True,False
HTA0549,NICE (UK),2018-05-02,2018,Surgical Procedures,Respiratory,23,10,7100,False,-0.018,0.198,0.1008,76351.34,50000,40000482.2,Low,1.4,7.77,1.71,Conditional,0.563,8,11,True,False
HTA0550,TLV (Sweden),2023-10-10,2023,Digital Health,Hematology,10,3,4659,True,1.44,0.0538,0.3127,54167.7,100000,71279647.9,High,4.67,7.35,3.04,Restricted,0.739,9,16,True,False
HTA0551,TLV (Sweden),2019-11-25,2019,Gene Therapy,Immunology,16,5,904,True,2.166,0.0748,0.2838,121921.52,100000,17250626.32,Moderate,5.44,3.81,5.34,Conditional,0.427,13,9,True,False
HTA0552,TLV (Sweden),2019-06-09,2019,Surgical Procedures,Infectious Disease,5,7,3812,True,0.523,0.108,0.172,115728.82,100000,10598187.87,Moderate,8.54,1.6,9.48,Restricted,0.796,4,11,False,False
HTA0553,SMC (Scotland),2021-05-11,2021,Diagnostic Tests,Cardiology,3,2,5128,False,0.077,0.2235,0.2951,34246.49,100000,43544792.73,Moderate,1.5,9.59,2.16,Conditional,0.579,8,3,False,False
HTA0554,TLV (Sweden),2020-05-15,2020,Gene Therapy,Infectious Disease,3,4,6741,True,2.399,0.148,0.3615,99377.43,100000,48049406.13,Low,5.24,8.82,3.62,Restricted,0.539,22,15,True,False
HTA0555,HAS (France),2024-02-09,2024,Medical Devices,Cardiology,14,4,2891,True,0.361,0.0351,0.3172,79064.84,100000,56120103.27,Moderate,5.14,2.04,7.06,Conditional,0.473,20,18,False,False
HTA0556,NCPE (Ireland),2019-01-07,2019,Medical Devices,Immunology,12,1,2669,False,-0.252,0.21,0.1918,144489.12,100000,9061341.18,Moderate,6.0,4.65,2.9,Conditional,0.537,21,18,True,False
HTA0557,NICE (UK),2022-02-19,2022,Medical Devices,Immunology,22,7,2895,True,-0.301,0.0618,0.0947,50298.86,50000,51923941.4,Low,8.11,6.91,6.48,Restricted,0.624,14,7,True,False
HTA0558,IQWIG (Germany),2024-02-19,2024,Screening Programs,Hematology,12,11,1461,True,-0.256,0.1643,0.2128,145791.69,100000,68174609.66,High,5.33,4.73,1.96,Conditional,0.669,3,5,False,False
HTA0559,CADTH (Canada),2020-08-08,2020,Surgical Procedures,Respiratory,7,1,3277,True,-0.491,0.0683,0.1633,145069.2,100000,91265554.9,Very Low,8.43,4.16,9.15,Restricted,0.795,22,10,True,False
HTA0560,NICE (UK),2019-02-04,2019,Digital Health,Immunology,2,1,2992,True,0.956,0.0949,0.362,29052.3,50000,15801355.31,Low,6.92,2.75,4.52,Conditional,0.679,21,16,True,False
HTA0561,CVZ (Netherlands),2023-11-20,2023,Screening Programs,Immunology,4,11,5639,False,0.092,0.2209,0.1749,48483.43,100000,22170050.06,High,1.39,8.83,7.11,Restricted,0.698,10,8,False,False
HTA0562,TLV (Sweden),2024-03-15,2024,Preventive Interventions,Respiratory,5,2,7913,True,2.253,0.1412,0.2271,37241.19,100000,54933878.75,High,8.83,7.08,9.94,Recommended,0.818,20,14,False,False
HTA0563,IQWIG (Germany),2024-04-10,2024,Rehabilitation Technologies,Infectious Disease,13,14,5269,True,1.498,0.0272,0.2972,9925.84,100000,84403315.04,Moderate,1.84,7.36,5.4,Conditional,0.376,21,12,False,False
HTA0564,SMC (Scotland),2021-11-06,2021,Gene Therapy,Endocrinology,10,3,6755,False,0.212,0.0984,0.2996,10840.33,100000,39255140.62,Moderate,2.5,1.21,2.2,Not Recommended,0.0,3,4,False,True
HTA0565,CVZ (Netherlands),2018-07-08,2018,Rehabilitation Technologies,Endocrinology,5,1,8059,True,0.255,0.0753,0.3022,12039.81,100000,65468038.51,Moderate,1.74,3.71,3.02,Not Recommended,0.0,19,3,False,True
HTA0566,HAS (France),2023-04-02,2023,Rehabilitation Technologies,Cardiology,4,2,2924,False,-0.283,0.0247,0.1046,69067.97,100000,51130770.65,Moderate,4.96,5.23,7.92,Restricted,0.532,10,16,True,False
HTA0567,TLV (Sweden),2021-08-05,2021,Diagnostic Tests,Neurology,19,14,3239,True,2.125,0.194,0.1768,111448.06,100000,11303519.69,Low,5.79,3.63,6.9,Restricted,0.692,12,0,False,False
HTA0568,PBAC (Australia),2021-09-16,2021,Preventive Interventions,Gastroenterology,13,4,8146,True,1.439,0.0183,0.3611,98031.61,100000,64711892.23,Very Low,5.58,4.69,8.8,Restricted,0.723,12,5,True,False
HTA0569,CADTH (Canada),2019-10-24,2019,Digital Health,Cardiology,10,6,5183,True,1.814,0.0149,0.2848,73045.93,100000,35329247.12,Low,8.69,1.2,6.49,Restricted,0.61,20,18,True,False
HTA0570,PBAC (Australia),2018-04-16,2018,Medical Devices,Endocrinology,23,14,6927,True,0.996,0.094,0.2531,37691.32,100000,7425022.51,Low,4.75,6.6,2.89,Conditional,0.435,16,9,True,False
HTA0571,SMC (Scotland),2024-09-04,2024,Preventive Interventions,Neurology,21,6,6489,True,0.477,0.067,0.2374,138240.9,100000,68884602.09,Low,8.51,4.16,1.57,Conditional,0.549,8,14,True,False
HTA0572,PBAC (Australia),2024-02-20,2024,Medical Devices,Gastroenterology,13,4,4481,False,0.488,0.0119,0.2031,42126.45,100000,12869445.33,Very Low,9.98,2.63,1.35,Conditional,0.41,15,16,False,False
HTA0573,PBAC (Australia),2023-03-17,2023,Medical Devices,Gastroenterology,18,9,4797,True,1.59,0.0751,0.1538,127086.38,100000,2026008.51,Low,4.54,3.69,6.92,Restricted,0.75,15,2,False,False
HTA0574,PBAC (Australia),2020-06-03,2020,Gene Therapy,Cardiology,5,8,7807,True,1.505,0.0648,0.1611,144599.53,100000,35458966.72,Moderate,6.36,9.74,9.85,Recommended,0.916,9,6,False,False
HTA0575,PBAC (Australia),2020-09-08,2020,Pharmaceuticals,Hematology,5,13,2667,True,1.337,0.1152,0.3044,134762.04,100000,67745738.12,Moderate,9.39,3.38,2.35,Restricted,0.527,14,6,False,False
HTA0576,IQWIG (Germany),2024-12-03,2024,Immunotherapy,Neurology,7,13,6545,False,-0.492,0.2211,0.1199,142356.23,100000,34888421.2,Moderate,7.36,6.29,3.86,Restricted,0.666,13,17,False,False
HTA0577,TLV (Sweden),2024-09-22,2024,Preventive Interventions,Oncology,1,1,5351,True,-0.383,0.1839,0.2758,45943.08,100000,30264313.37,Very Low,9.89,5.26,8.22,Recommended,0.947,7,15,False,False
HTA0578,NCPE (Ireland),2018-02-03,2018,Rehabilitation Technologies,Gastroenterology,17,3,2034,True,1.42,0.1953,0.3512,6918.54,100000,68763035.09,High,7.36,6.72,2.34,Restricted,0.73,16,13,True,False
HTA0579,NICE (UK),2018-12-18,2018,Surgical Procedures,Oncology,8,1,7618,False,0.417,0.2142,0.2285,109257.49,50000,80277557.92,Moderate,2.04,4.94,8.58,Restricted,0.679,7,0,False,False
HTA0580,CADTH (Canada),2021-12-23,2021,Diagnostic Tests,Gastroenterology,15,10,1026,False,-0.18,0.0189,0.1763,7532.88,100000,20044936.13,Low,9.43,1.79,6.02,Restricted,0.576,19,7,True,False
HTA0581,SMC (Scotland),2022-10-28,2022,Rehabilitation Technologies,Immunology,12,3,6292,True,2.149,0.1799,0.354,60602.11,100000,32027923.12,Moderate,1.17,7.52,4.15,Conditional,0.425,6,1,False,False
HTA0582,CVZ (Netherlands),2021-07-15,2021,Gene Therapy,Respiratory,3,6,4576,True,-0.058,0.1186,0.3584,66072.75,100000,84117103.94,Low,2.73,6.23,5.55,Conditional,0.459,6,5,False,False
HTA0583,TLV (Sweden),2022-08-27,2022,Pharmaceuticals,Oncology,7,8,462,True,0.373,0.074,0.3169,42237.95,100000,45179962.93,Low,1.72,6.35,6.3,Conditional,0.574,7,19,True,False
HTA0584,HAS (France),2018-06-15,2018,Pharmaceuticals,Hematology,2,3,5253,False,0.133,0.143,0.2969,65533.81,100000,76049276.64,Moderate,8.44,3.41,3.5,Restricted,0.657,22,7,True,False
HTA0585,CADTH (Canada),2021-07-28,2021,Medical Devices,Oncology,9,11,116,False,-0.238,0.1648,0.347,63236.38,100000,83165793.41,Moderate,8.41,5.86,3.01,Restricted,0.622,19,6,True,False
HTA0586,NICE (UK),2020-08-04,2020,Surgical Procedures,Infectious Disease,3,1,4503,True,1.221,0.2364,0.303,104973.72,50000,96847658.46,Low,2.23,4.13,9.69,Restricted,0.647,20,13,False,False
HTA0587,PBAC (Australia),2020-04-28,2020,Pharmaceuticals,Oncology,15,3,402,True,2.022,0.222,0.1061,54238.11,100000,34187094.84,High,6.38,8.69,4.43,Restricted,0.722,5,6,True,False
HTA0588,IQWIG (Germany),2019-04-23,2019,Digital Health,Oncology,13,14,4900,True,0.51,0.0706,0.2518,144757.21,100000,20806607.02,High,2.07,8.05,4.15,Conditional,0.39,12,3,True,False
HTA0589,IQWIG (Germany),2024-10-25,2024,Surgical Procedures,Gastroenterology,4,6,7279,True,0.772,0.1322,0.3808,84489.55,100000,95364576.29,Moderate,7.52,8.31,7.11,Recommended,0.921,17,4,False,False
HTA0590,HAS (France),2024-05-25,2024,Digital Health,Endocrinology,9,2,9154,True,1.925,0.0732,0.0514,76841.58,100000,10922597.41,Low,3.48,4.99,1.78,Conditional,0.415,5,2,False,False
HTA0591,HAS (France),2023-03-28,2023,Surgical Procedures,Rheumatology,7,6,6312,True,1.491,0.1094,0.0656,118744.02,100000,68192610.39,Moderate,9.1,4.03,3.65,Restricted,0.762,6,10,True,False
HTA0592,NICE (UK),2022-08-09,2022,Gene Therapy,Respiratory,11,10,4478,True,1.866,0.0943,0.1085,9842.01,50000,39185954.56,Very Low,3.15,2.86,9.73,Restricted,0.508,9,17,True,False
HTA0593,IQWIG (Germany),2024-09-04,2024,Screening Programs,Oncology,24,14,8202,True,0.875,0.0765,0.2124,70254.13,100000,58791664.69,Moderate,1.7,2.31,7.29,Conditional,0.309,14,5,True,False
HTA0594,CVZ (Netherlands),2023-08-24,2023,Pharmaceuticals,Oncology,11,13,2221,True,0.557,0.1067,0.0558,123144.84,100000,36560146.84,Low,1.67,2.57,9.01,Conditional,0.543,19,9,False,False
HTA0595,TLV (Sweden),2018-12-26,2018,Digital Health,Immunology,6,2,6663,False,0.188,0.0151,0.1678,25948.98,100000,24064249.0,Very Low,1.33,2.98,3.79,Not Recommended,0.0,19,2,False,False
HTA0596,TLV (Sweden),2019-09-20,2019,Medical Devices,Cardiology,21,12,2142,True,-0.324,0.185,0.1651,99755.9,100000,28679842.68,Low,7.95,9.35,3.35,Restricted,0.6,21,19,False,False
HTA0597,PBAC (Australia),2024-06-10,2024,Diagnostic Tests,Oncology,23,14,2757,True,1.283,0.0267,0.1396,33537.7,100000,2573445.92,Moderate,6.05,4.46,3.42,Conditional,0.561,4,1,True,False
HTA0598,PBAC (Australia),2019-12-03,2019,Surgical Procedures,Immunology,20,9,3351,True,0.731,0.0562,0.3108,23423.16,100000,11283505.24,Low,2.88,3.76,5.28,Conditional,0.48,6,12,True,False
HTA0599,TLV (Sweden),2018-01-06,2018,Screening Programs,Neurology,19,3,1291,True,-0.483,0.0203,0.1354,21572.24,100000,53800473.37,Low,7.63,2.94,4.59,Restricted,0.652,20,14,True,False
HTA0600,TLV (Sweden),2023-11-13,2023,Surgical Procedures,Respiratory,11,2,5547,True,1.402,0.0717,0.0683,6483.91,100000,3193794.02,High,1.99,3.16,2.99,Not Recommended,0.0,10,14,False,False
HTA0601,PBAC (Australia),2019-06-12,2019,Surgical Procedures,Infectious Disease,23,13,6768,True,1.645,0.1847,0.2833,131267.51,100000,87140440.38,Low,4.87,6.77,8.36,Restricted,0.502,16,18,False,False
HTA0602,G-BA (Germany),2019-10-04,2019,Pharmaceuticals,Immunology,17,0,7999,True,0.62,0.2484,0.3982,21644.01,100000,72870909.15,High,1.27,1.95,9.69,Conditional,0.676,14,15,True,False
HTA0603,IQWIG (Germany),2018-05-20,2018,Medical Devices,Gastroenterology,16,3,1952,False,0.157,0.1147,0.3265,123597.62,100000,29757678.96,Moderate,9.42,2.48,1.38,Conditional,0.482,20,9,True,False
HTA0604,CVZ (Netherlands),2024-07-05,2024,Immunotherapy,Immunology,1,13,6773,True,-0.207,0.1578,0.2021,66833.92,100000,53148037.39,Moderate,6.63,1.28,9.73,Restricted,0.777,10,15,True,False
HTA0605,CVZ (Netherlands),2022-08-08,2022,Surgical Procedures,Cardiology,14,11,4142,False,0.258,0.2285,0.0552,122319.97,100000,93907743.26,Low,2.17,1.73,1.19,Not Recommended,0.0,4,19,False,False
HTA0606,NICE (UK),2021-09-23,2021,Digital Health,Immunology,12,10,3044,False,-0.225,0.0432,0.0919,106498.53,50000,1602247.78,Moderate,2.07,8.65,9.63,Restricted,0.788,3,9,False,False
HTA0607,PBAC (Australia),2018-07-09,2018,Screening Programs,Neurology,17,4,7920,True,2.187,0.176,0.0926,14431.66,100000,97512380.81,Low,4.76,7.32,7.81,Restricted,0.734,17,4,False,False
HTA0608,PBAC (Australia),2019-12-27,2019,Digital Health,Immunology,5,14,367,True,1.703,0.1747,0.1613,30636.24,100000,11137634.63,Low,5.05,3.91,8.71,Restricted,0.678,20,2,True,False
HTA0609,NCPE (Ireland),2022-11-16,2022,Screening Programs,Respiratory,5,3,4285,True,-0.22,0.1262,0.0818,23695.91,100000,24721373.37,Low,9.32,8.44,4.01,Restricted,0.582,14,7,True,False
HTA0610,HAS (France),2019-03-04,2019,Diagnostic Tests,Infectious Disease,22,4,5869,False,0.011,0.2293,0.3887,127837.83,100000,31666097.76,Moderate,5.93,5.08,8.9,Restricted,0.53,19,9,False,False
HTA0611,HAS (France),2021-03-11,2021,Medical Devices,Hematology,17,11,8489,True,1.586,0.2038,0.2822,26947.34,100000,11226053.29,Low,4.61,4.86,9.71,Restricted,0.717,11,6,False,False
HTA0612,IQWIG (Germany),2022-06-16,2022,Digital Health,Cardiology,7,7,8809,False,-0.193,0.2353,0.1609,99874.42,100000,8923224.41,Moderate,7.96,5.76,9.35,Recommended,0.886,4,19,False,False
HTA0613,PBAC (Australia),2023-10-18,2023,Diagnostic Tests,Oncology,16,8,3939,True,2.23,0.2297,0.1651,107287.96,100000,67898780.26,Low,3.67,5.59,7.01,Restricted,0.508,13,2,False,False
HTA0614,NICE (UK),2021-05-27,2021,Screening Programs,Oncology,6,10,1103,False,0.252,0.0601,0.1189,98174.09,50000,46350186.28,Low,1.22,6.49,7.58,Restricted,0.798,5,9,False,False
HTA0615,NCPE (Ireland),2024-10-20,2024,Medical Devices,Neurology,9,13,7066,True,0.713,0.0643,0.0561,88362.04,100000,22029058.52,Moderate,2.13,2.71,1.29,Not Recommended,0.0,13,11,False,False
HTA0616,NCPE (Ireland),2018-06-18,2018,Gene Therapy,Respiratory,13,14,8918,True,0.93,0.2309,0.3034,100982.69,100000,44683341.77,Low,1.29,6.28,5.98,Conditional,0.439,4,2,False,False
HTA0617,G-BA (Germany),2022-10-21,2022,Pharmaceuticals,Infectious Disease,14,12,2121,True,-0.089,0.2138,0.2658,32044.1,100000,18543728.6,Low,7.68,6.93,4.66,Restricted,0.579,3,13,True,False
HTA0618,G-BA (Germany),2023-01-19,2023,Medical Devices,Endocrinology,21,9,9572,False,0.273,0.2338,0.2975,134859.56,100000,24410898.02,Moderate,7.78,4.82,8.54,Restricted,0.763,13,5,True,False
HTA0619,NICE (UK),2019-03-20,2019,Diagnostic Tests,Respiratory,11,4,7350,False,-0.036,0.1572,0.1454,44755.21,50000,12241899.84,High,4.13,7.87,6.47,Restricted,0.531,5,8,True,False
HTA0620,CVZ (Netherlands),2022-05-01,2022,Medical Devices,Immunology,3,4,7612,True,-0.455,0.0411,0.1381,67284.62,100000,49256606.9,High,7.06,6.37,3.65,Restricted,0.504,9,14,False,False
HTA0621,HAS (France),2019-01-07,2019,Rehabilitation Technologies,Rheumatology,3,13,6159,False,0.112,0.1005,0.0505,69756.9,100000,28395279.76,High,1.68,4.13,6.53,Conditional,0.635,15,11,False,False
HTA0622,IQWIG (Germany),2024-04-21,2024,Immunotherapy,Oncology,22,2,6536,True,1.642,0.1787,0.2649,78988.08,100000,43944655.82,Low,3.1,9.47,6.3,Restricted,0.593,10,4,False,False
HTA0623,CVZ (Netherlands),2018-05-28,2018,Screening Programs,Gastroenterology,21,7,1204,True,2.195,0.1495,0.1731,38726.22,100000,62071692.54,Moderate,9.92,9.85,6.72,Recommended,0.889,20,14,False,False
HTA0624,CVZ (Netherlands),2023-09-06,2023,Pharmaceuticals,Hematology,18,0,3873,True,0.638,0.1217,0.2133,42265.82,100000,85170887.18,Moderate,3.07,2.58,3.9,Conditional,0.327,13,3,True,False
HTA0625,SMC (Scotland),2021-10-07,2021,Pharmaceuticals,Cardiology,4,13,1459,False,-0.409,0.0372,0.0616,20153.6,100000,21732561.86,Very Low,7.01,8.01,7.99,Recommended,0.907,3,15,False,False
HTA0626,SMC (Scotland),2024-07-12,2024,Gene Therapy,Endocrinology,12,0,5720,True,0.81,0.1877,0.2063,14933.6,100000,17691762.48,Low,6.84,6.13,2.51,Restricted,0.751,22,10,False,False
HTA0627,NICE (UK),2018-11-24,2018,Immunotherapy,Gastroenterology,23,2,4069,False,-0.286,0.1103,0.1521,115941.17,50000,76637249.94,Moderate,1.73,1.1,4.85,Not Recommended,0.0,23,9,False,False
