study_id,author,year,journal,pmid,disease,test_type,test_name,reference_standard,n_patients,prevalence,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,ppv,npv,lr_positive,lr_negative,auc,quadas_patient_selection,quadas_index_test,quadas_reference_standard,quadas_flow_timing,quadas_overall,age_mean,percent_male,setting,test_cost_usd,country
DTA252,,,,,COVID-19,Biomarker,Test 252,Biopsy,1620,0.09,138,188,7,1287,0.953,0.873,0.423,0.995,7.5,0.054,0.915,low,low,low,low,low,59.8,67,Outpatient,1029,USA
DTA253,,,,,PE,Molecular,Test 253,Gold standard imaging,1413,0.1,134,120,7,1152,0.955,0.906,0.528,0.994,10.2,0.05,0.852,low,unclear,low,low,low,53.7,55,Primary care,1068,China
DTA254,,,,,Sepsis,PCR,Test 254,PCR,1176,0.06,58,22,12,1084,0.834,0.981,0.725,0.989,43.9,0.169,0.802,low,low,unclear,unclear,low,49.3,46,Emergency,633,Canada
DTA255,,,,,Breast cancer,PCR,Test 255,Gold standard imaging,323,0.23,63,29,11,220,0.864,0.884,0.685,0.952,7.4,0.154,0.923,unclear,low,low,low,low,63.4,66,Primary care,1029,Japan
DTA256,,,,,MS,Biomarker,Test 256,Biopsy,1139,0.21,197,207,42,693,0.828,0.77,0.488,0.943,3.6,0.223,0.86,unclear,low,low,low,low,55.4,48,Outpatient,408,Japan
DTA257,,,,,Parkinson disease,PCR,Test 257,PCR,747,0.29,175,120,41,411,0.811,0.775,0.593,0.909,3.6,0.244,0.811,low,low,low,unclear,unclear,51.2,46,Emergency,563,USA
DTA258,,,,,COVID-19,Molecular,Test 258,Culture,290,0.2,45,53,13,179,0.792,0.774,0.459,0.932,3.5,0.269,0.84,unclear,low,unclear,unclear,low,59.8,56,Primary care,465,Japan
DTA259,,,,,Stroke,Antigen test,Test 259,Culture,1300,0.26,290,16,48,946,0.86,0.984,0.948,0.952,53.7,0.142,0.888,low,low,low,low,unclear,49.7,40,Outpatient,753,Japan
DTA260,,,,,Depression,Biomarker,Test 260,Culture,533,0.3,132,88,27,286,0.835,0.767,0.6,0.914,3.6,0.215,0.921,low,low,unclear,low,low,68.4,54,Hospital,226,Germany
DTA261,,,,,TB,Molecular,Test 261,Biopsy,484,0.25,96,56,25,307,0.801,0.846,0.632,0.925,5.2,0.235,0.818,low,low,low,low,low,57.3,67,Outpatient,1043,China
DTA262,,,,,Stroke,Antibody test,Test 262,Biopsy,1632,0.12,189,36,6,1401,0.97,0.975,0.84,0.996,38.8,0.031,0.819,low,unclear,low,low,low,67.1,39,Hospital,1071,USA
DTA263,,,,,Prostate cancer,Clinical test,Test 263,Clinical diagnosis,917,0.27,216,50,31,620,0.876,0.926,0.812,0.952,11.8,0.134,0.864,low,unclear,low,low,unclear,51.3,57,Emergency,1502,France
DTA264,,,,,Pneumonia,PCR,Test 264,Culture,312,0.12,30,60,7,215,0.837,0.782,0.333,0.968,3.8,0.208,0.943,low,low,low,low,unclear,69.7,68,Emergency,1855,China
DTA265,,,,,Stroke,Antigen test,Test 265,Clinical diagnosis,1462,0.23,278,79,58,1047,0.829,0.93,0.779,0.948,11.8,0.184,0.969,low,low,low,low,low,58.0,45,Emergency,1460,UK
DTA266,,,,,MI,Biomarker,Test 266,Gold standard imaging,1146,0.3,281,60,62,743,0.822,0.926,0.824,0.923,11.1,0.192,0.902,low,low,low,low,low,59.5,43,Emergency,367,Japan
DTA267,,,,,Lung cancer,PCR,Test 267,PCR,352,0.29,92,27,10,223,0.903,0.892,0.773,0.957,8.4,0.109,0.83,unclear,unclear,low,low,low,57.3,57,Outpatient,281,France
DTA268,,,,,Prostate cancer,Antigen test,Test 268,Clinical diagnosis,632,0.15,77,77,17,461,0.823,0.857,0.5,0.964,5.8,0.207,0.912,unclear,unclear,low,low,low,59.0,55,Primary care,531,Canada
DTA269,,,,,Prostate cancer,Clinical test,Test 269,PCR,499,0.14,56,7,13,423,0.814,0.984,0.889,0.97,50.9,0.189,0.944,unclear,unclear,low,low,low,64.0,64,Primary care,1283,UK
DTA270,,,,,Schizophrenia,Antibody test,Test 270,Biopsy,1709,0.14,218,125,21,1345,0.913,0.915,0.636,0.985,10.7,0.095,0.838,low,low,unclear,unclear,unclear,63.2,66,Hospital,806,UK
DTA271,,,,,Pneumonia,Molecular,Test 271,Biopsy,792,0.28,168,94,53,477,0.763,0.836,0.641,0.9,4.7,0.283,0.865,low,low,low,unclear,low,68.1,49,Hospital,473,UK
DTA272,,,,,Lung cancer,Molecular,Test 272,Gold standard imaging,487,0.19,66,14,26,381,0.726,0.967,0.825,0.936,22.0,0.283,0.976,low,low,unclear,low,high,50.5,47,Outpatient,1166,China
DTA273,,,,,MS,Biomarker,Test 273,Biopsy,1947,0.29,548,335,16,1048,0.972,0.758,0.621,0.985,4.0,0.037,0.88,unclear,unclear,unclear,low,unclear,57.7,61,Hospital,1298,Canada
DTA274,,,,,AFib,Antigen test,Test 274,Clinical diagnosis,255,0.17,41,51,2,161,0.97,0.762,0.446,0.988,4.1,0.039,0.83,low,low,low,low,low,53.3,52,Outpatient,1432,UK
DTA275,,,,,Prostate cancer,Molecular,Test 275,Culture,1734,0.25,422,14,11,1287,0.976,0.99,0.968,0.992,97.6,0.024,0.907,unclear,low,low,low,low,60.1,40,Emergency,1951,UK
DTA276,,,,,Pneumonia,PCR,Test 276,Biopsy,1026,0.19,153,52,41,780,0.79,0.938,0.746,0.95,12.7,0.224,0.973,unclear,unclear,low,low,unclear,59.9,56,Hospital,1533,Germany
DTA277,,,,,Colorectal cancer,Biomarker,Test 277,Clinical diagnosis,483,0.25,117,46,3,317,0.979,0.874,0.718,0.991,7.8,0.024,0.81,low,low,low,low,high,51.9,56,Hospital,342,Japan
DTA278,,,,,Colorectal cancer,Molecular,Test 278,PCR,1586,0.1,123,302,35,1126,0.779,0.789,0.289,0.97,3.7,0.28,0.903,low,low,low,low,low,51.9,66,Outpatient,287,UK
DTA279,,,,,Prostate cancer,Clinical test,Test 279,PCR,1227,0.2,233,217,12,765,0.952,0.78,0.518,0.985,4.3,0.062,0.89,low,low,low,unclear,unclear,58.0,41,Outpatient,893,Germany
DTA280,,,,,HIV,Biomarker,Test 280,PCR,1171,0.26,235,155,69,712,0.776,0.822,0.603,0.912,4.4,0.273,0.881,unclear,low,low,unclear,high,69.0,70,Hospital,54,Canada
DTA281,,,,,Heart failure,Antigen test,Test 281,Gold standard imaging,948,0.07,51,68,15,814,0.775,0.924,0.429,0.982,10.2,0.244,0.856,low,unclear,low,low,unclear,59.0,67,Hospital,568,Germany
DTA282,,,,,Prostate cancer,PCR,Test 282,PCR,907,0.06,51,146,3,707,0.953,0.829,0.259,0.996,5.6,0.057,0.927,unclear,unclear,unclear,low,low,45.9,38,Hospital,543,Canada
DTA283,,,,,Depression,Imaging,Test 283,Biopsy,595,0.09,43,51,10,491,0.813,0.906,0.457,0.98,8.6,0.206,0.882,low,low,low,unclear,low,61.6,59,Primary care,260,Germany
DTA284,,,,,TB,Biomarker,Test 284,PCR,208,0.28,52,34,6,116,0.91,0.775,0.605,0.951,4.0,0.116,0.855,low,low,low,low,unclear,66.9,69,Primary care,193,China
DTA285,,,,,COVID-19,Clinical test,Test 285,Clinical diagnosis,1574,0.23,335,177,27,1035,0.928,0.854,0.654,0.975,6.4,0.084,0.841,low,low,low,unclear,high,49.0,52,Primary care,282,China
DTA286,,,,,Stroke,Molecular,Test 286,Clinical diagnosis,1967,0.07,130,61,7,1769,0.952,0.967,0.681,0.996,28.8,0.05,0.903,low,low,low,unclear,high,69.8,59,Emergency,386,USA
DTA287,,,,,Epilepsy,Imaging,Test 287,Gold standard imaging,1586,0.23,295,82,69,1140,0.811,0.933,0.782,0.943,12.1,0.203,0.864,low,low,low,unclear,high,58.1,46,Outpatient,1720,UK
DTA288,,,,,Parkinson disease,Molecular,Test 288,Gold standard imaging,1925,0.17,291,165,36,1433,0.891,0.897,0.638,0.975,8.7,0.122,0.931,low,low,low,low,low,51.4,51,Primary care,1253,Germany
DTA289,,,,,Alzheimer disease,Imaging,Test 289,Biopsy,1251,0.24,220,186,80,765,0.735,0.805,0.542,0.905,3.8,0.329,0.925,low,low,low,low,low,62.7,42,Emergency,109,USA
DTA290,,,,,MI,Clinical test,Test 290,Culture,768,0.26,158,77,41,492,0.796,0.866,0.672,0.923,5.9,0.236,0.876,low,low,low,unclear,low,66.4,38,Outpatient,1518,UK
DTA291,,,,,Alzheimer disease,Biomarker,Test 291,Biopsy,860,0.24,176,129,30,525,0.855,0.803,0.577,0.946,4.3,0.181,0.897,low,low,low,unclear,low,48.9,41,Hospital,1437,Japan
DTA292,,,,,Depression,PCR,Test 292,PCR,253,0.26,60,21,5,167,0.931,0.892,0.741,0.971,8.6,0.077,0.9,low,low,low,low,unclear,56.2,35,Hospital,590,France
DTA293,,,,,AFib,Imaging,Test 293,Culture,839,0.18,114,159,37,529,0.76,0.77,0.418,0.935,3.3,0.312,0.84,low,unclear,unclear,low,high,61.7,52,Primary care,482,France
DTA294,,,,,Parkinson disease,Biomarker,Test 294,Biopsy,1956,0.15,238,109,55,1554,0.815,0.935,0.686,0.966,12.5,0.198,0.84,unclear,unclear,low,low,high,64.5,48,Outpatient,965,France
DTA295,,,,,TB,Imaging,Test 295,Gold standard imaging,637,0.28,137,19,41,440,0.77,0.96,0.878,0.915,19.2,0.24,0.893,unclear,low,unclear,low,low,63.0,55,Hospital,1652,France
DTA296,,,,,Prostate cancer,Biomarker,Test 296,Gold standard imaging,399,0.2,55,36,24,284,0.701,0.889,0.604,0.922,6.3,0.336,0.967,unclear,unclear,low,low,high,56.9,55,Outpatient,395,Canada
DTA297,,,,,Heart failure,Biomarker,Test 297,Clinical diagnosis,1990,0.09,139,261,40,1550,0.778,0.856,0.347,0.975,5.4,0.259,0.871,low,low,low,unclear,high,64.7,53,Outpatient,203,UK
DTA298,,,,,MI,Biomarker,Test 298,Clinical diagnosis,932,0.22,183,176,22,551,0.895,0.758,0.51,0.962,3.7,0.139,0.943,unclear,low,unclear,low,low,67.7,50,Outpatient,1685,Germany
DTA299,,,,,HIV,PCR,Test 299,Biopsy,1707,0.13,206,57,15,1429,0.934,0.962,0.783,0.99,24.6,0.069,0.927,low,low,unclear,unclear,high,64.8,44,Emergency,719,Japan
DTA300,,,,,AFib,Molecular,Test 300,Clinical diagnosis,331,0.1,28,21,5,277,0.871,0.93,0.571,0.982,12.4,0.139,0.87,low,low,low,unclear,low,64.0,48,Hospital,200,Japan
