hta_id,technology_name,manufacturer,therapeutic_area,indication,comparator,regulatory_body,decision_year,clinical_outcome_primary,relative_effect_rr_or_hr,ci_lower,ci_upper,p_value,qaly_gain,icer_per_qaly,budget_impact_millions,recommendation,evidence_quality,innovation_score,unmet_need,patient_population_size,cost_per_patient_year,safety_grade,implementation_feasibility,country
HTA264,Technology 264,BMS,Oncology,Indication 264,Standard care,AIFA,2018,Progression-free survival,0.68,0.56,0.8,0.017,2.42,85190,218,Rejected,High,8,High,473050,165060,B,Moderate,Australia
HTA265,Technology 265,Novartis,Rheumatology,Indication 265,Active comparator,EMA,2020,Overall survival,0.55,0.45,0.65,0.043,2.2,25003,115,Conditional approval,High,10,Low,383476,299546,A,Low,Spain
HTA266,Technology 266,Novartis,Dermatology,Indication 266,Active comparator,HAS,2022,Disease control,0.75,0.61,0.89,0.03,2.76,22852,78,Approved,Moderate,10,Moderate,86979,261083,B,Low,Germany
HTA267,Technology 267,Lilly,Infectious disease,Indication 267,Best supportive care,FDA,2024,Clinical response,0.65,0.53,0.77,0.04,2.62,148414,393,Approved,Low,10,Low,362475,95002,C,High,USA
HTA268,Technology 268,Merck,Rheumatology,Indication 268,Best supportive care,PBAC,2021,Clinical response,0.91,0.75,1.07,0.032,3.06,90510,561,Approved,Moderate,10,Low,85231,230799,A,High,Germany
HTA269,Technology 269,Lilly,Infectious disease,Indication 269,Standard care,HAS,2018,Progression-free survival,0.76,0.62,0.9,0.024,1.64,41826,686,Rejected,Moderate,7,Low,311640,294836,A,High,UK
HTA270,Technology 270,Novartis,Hematology,Indication 270,Active comparator,NICE,2019,Progression-free survival,0.85,0.7,1.0,0.01,2.37,135823,597,Approved,Moderate,5,High,333798,215129,A,Moderate,UK
HTA271,Technology 271,AstraZeneca,Neurology,Indication 271,Active comparator,NICE,2022,Progression-free survival,0.75,0.61,0.89,0.013,1.91,99172,609,Approved,High,8,High,65732,273622,A,High,France
HTA272,Technology 272,BMS,Infectious disease,Indication 272,Active comparator,AIFA,2024,Progression-free survival,0.63,0.52,0.74,0.032,2.31,90111,331,Rejected,Moderate,7,Low,130727,122375,A,High,Spain
HTA273,Technology 273,Bayer,Hematology,Indication 273,Active comparator,EMA,2018,Progression-free survival,0.71,0.58,0.84,0.031,1.04,33565,449,Approved,High,10,Low,155600,297922,B,Moderate,Germany
HTA274,Technology 274,GSK,Hematology,Indication 274,Standard care,FDA,2024,Clinical response,0.66,0.54,0.78,0.024,1.99,29019,643,Rejected,High,9,High,488769,226007,A,Low,UK
HTA275,Technology 275,Lilly,Pulmonology,Indication 275,Active comparator,NICE,2024,Clinical response,0.86,0.71,1.01,0.016,2.94,110602,272,Conditional approval,High,7,High,436273,78628,B,Low,Canada
HTA276,Technology 276,Roche,Cardiology,Indication 276,Best supportive care,AIFA,2023,Clinical response,0.82,0.67,0.97,0.007,1.47,115633,179,Conditional approval,Moderate,8,Moderate,499311,114625,C,Low,Australia
HTA277,Technology 277,Lilly,Endocrinology,Indication 277,Standard care,NICE,2024,Disease control,0.77,0.63,0.91,0.038,0.52,20561,380,Approved,Moderate,6,Low,410591,209764,B,Low,Canada
HTA278,Technology 278,Novartis,Rheumatology,Indication 278,Standard care,FDA,2021,Disease control,0.6,0.49,0.71,0.035,1.92,103244,178,Rejected,Low,6,Low,496730,232056,B,Low,USA
HTA279,Technology 279,Novartis,Neurology,Indication 279,Standard care,EMA,2023,Clinical response,0.57,0.47,0.67,0.029,2.9,121412,794,Rejected,Moderate,10,High,489620,249046,A,High,France
HTA280,Technology 280,Lilly,Cardiology,Indication 280,Standard care,EMA,2023,Overall survival,0.74,0.61,0.87,0.016,0.92,73276,704,Approved,High,10,High,220547,281933,C,Low,Canada
HTA281,Technology 281,Lilly,Cardiology,Indication 281,Standard care,G-BA,2021,Disease control,0.76,0.62,0.9,0.015,1.15,107053,374,Approved,High,6,Low,114355,284233,B,Moderate,Australia
HTA282,Technology 282,Pfizer,Rheumatology,Indication 282,Active comparator,G-BA,2022,Overall survival,0.92,0.75,1.09,0.002,2.9,52426,165,Rejected,Moderate,8,Low,123604,176167,A,Low,USA
HTA283,Technology 283,Sanofi,Pulmonology,Indication 283,Standard care,EMA,2023,Progression-free survival,0.66,0.54,0.78,0.008,2.38,118208,512,Approved,High,10,Moderate,154386,50159,A,Low,Canada
HTA284,Technology 284,Pfizer,Pulmonology,Indication 284,Standard care,G-BA,2022,Clinical response,0.89,0.73,1.05,0.007,2.96,71852,167,Conditional approval,Moderate,6,Low,56664,210916,B,Moderate,Spain
HTA285,Technology 285,Lilly,Pulmonology,Indication 285,Best supportive care,AIFA,2019,Clinical response,0.77,0.63,0.91,0.005,1.86,47190,121,Approved,High,10,Moderate,83089,107115,B,Low,UK
HTA286,Technology 286,Bayer,Cardiology,Indication 286,Best supportive care,AIFA,2018,Progression-free survival,0.6,0.49,0.71,0.001,2.13,20015,354,Approved,Moderate,6,Low,21428,158676,B,High,Germany
HTA287,Technology 287,Merck,Oncology,Indication 287,Active comparator,HAS,2024,Clinical response,0.87,0.71,1.03,0.034,2.96,106580,473,Rejected,Moderate,10,High,72168,88967,A,Moderate,Spain
HTA288,Technology 288,J&J,Endocrinology,Indication 288,Standard care,NICE,2024,Overall survival,0.71,0.58,0.84,0.021,1.69,31067,382,Approved,Low,8,Low,42142,195533,C,High,Spain
HTA289,Technology 289,Roche,Gastroenterology,Indication 289,Standard care,HAS,2020,Overall survival,0.74,0.61,0.87,0.039,3.34,104944,514,Approved,High,10,High,155503,215608,A,High,Australia
HTA290,Technology 290,Roche,Pulmonology,Indication 290,Standard care,FDA,2020,Disease control,0.71,0.58,0.84,0.036,2.49,27348,339,Approved,High,10,Moderate,213700,251622,C,Low,Australia
HTA291,Technology 291,GSK,Dermatology,Indication 291,Standard care,EMA,2020,Clinical response,0.75,0.61,0.89,0.01,2.89,18850,441,Approved,High,8,High,295536,152576,A,High,France
HTA292,Technology 292,J&J,Rheumatology,Indication 292,Standard care,G-BA,2021,Overall survival,0.87,0.71,1.03,0.006,2.12,89216,455,Approved,Moderate,6,High,398171,145144,C,High,Germany
HTA293,Technology 293,GSK,Pulmonology,Indication 293,Active comparator,AIFA,2020,Progression-free survival,0.87,0.71,1.03,0.023,0.83,21651,673,Rejected,High,7,Moderate,121093,140164,B,Moderate,France
HTA294,Technology 294,Bayer,Oncology,Indication 294,Standard care,FDA,2022,Progression-free survival,0.88,0.72,1.04,0.008,1.63,146371,602,Approved,Moderate,6,High,115160,185035,A,Moderate,Australia
HTA295,Technology 295,Bayer,Dermatology,Indication 295,Standard care,EMA,2023,Clinical response,0.61,0.5,0.72,0.028,1.4,94801,135,Approved,High,10,Moderate,423977,155235,C,Low,UK
HTA296,Technology 296,BMS,Dermatology,Indication 296,Standard care,CADTH,2022,Disease control,0.66,0.54,0.78,0.002,3.28,57645,122,Approved,High,6,Low,461533,128648,B,High,Australia
HTA297,Technology 297,GSK,Gastroenterology,Indication 297,Best supportive care,FDA,2018,Clinical response,0.7,0.57,0.83,0.005,0.55,57443,648,Approved,Moderate,8,Moderate,42020,256067,A,Low,Germany
HTA298,Technology 298,Sanofi,Gastroenterology,Indication 298,Best supportive care,EMA,2018,Overall survival,0.76,0.62,0.9,0.017,0.56,29525,523,Conditional approval,Low,8,High,334835,120302,B,Moderate,Spain
HTA299,Technology 299,Merck,Hematology,Indication 299,Active comparator,EMA,2018,Overall survival,0.56,0.46,0.66,0.045,3.49,77845,403,Conditional approval,High,9,Low,61519,218853,A,Low,Australia
HTA300,Technology 300,AbbVie,Gastroenterology,Indication 300,Best supportive care,AIFA,2024,Disease control,0.79,0.65,0.93,0.017,2.22,16058,166,Approved,High,7,Moderate,435190,256121,A,High,Spain
